"","station_id","V1","organization","region","local","lat","long","date","chla","tss","secchi_m","acdom440","local_year_month","OWT","Rrs486","Rrs571","Rrs660","Rrs850"
"1","AGID_1000",7,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.88906,117.483,2009-08-20,18.7,132,0.15,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0113036513693866,0.0211603620654378,0.0221057169800507,0.00596449104452968
"2","AGID_1001",8,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.83303,117.521,2009-08-25,6.3,52,0.2,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0128705261702519,0.023784723413575,0.0255325249081941,0.0076392277450776
"3","AGID_1002",9,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.82403,117.511,2009-08-25,7.5,90,0.3,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0139515924392463,0.0242551257670815,0.0241313759010954,0.00497871284851674
"4","AGID_1003",10,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.81375,117.498,2009-08-25,9.6,92,0.3,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0116299816560303,0.0222623779516062,0.0225146187449564,0.00379828533055543
"5","AGID_1004",11,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.80692,117.488,2009-08-25,6.7,32,0.25,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.011787892851724,0.0225320941039484,0.0229297767680177,0.00378105002519312
"6","AGID_1005",12,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.79433,117.468,2009-08-25,5.8,22,0.3,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0107705923314827,0.0209282528554989,0.0206232889055243,0.0028027072800367
"7","AGID_1006",13,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.78597,117.451,2009-08-25,3.2,18,0.5,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0112159113952845,0.0219987567378787,0.0221855936176338,0.00283820478478048
"8","AGID_1007",14,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.74111,117.399,2009-08-25,5,38,0.15,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0146253135955279,0.0304951529234629,0.0344762311320233,0.00798590356081972
"9","AGID_1008",15,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.67964,117.38,2009-08-25,11.5,58,0.1,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0143487832566755,0.0295979293376214,0.0352589956484811,0.0146329815869529
"10","AGID_1009",16,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.63969,117.347,2009-08-25,9.6,66,0.1,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0133205761554443,0.0272552209354109,0.0321551410816672,0.012063318971092
"11","AGID_1010",18,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.468,117.493,2009-08-26,9.2,26,0.15,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.0254363462409356,0.0456740488991626,0.0507334743021674,0.01935258897718
