"","station_id","V1","organization","region","local","lat","long","date","chla","tss","secchi_m","acdom440","local_year_month","OWT","Rrs443","Rrs483","Rrs561","Rrs655","Rrs850"
"1","AGID_1000",7,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.88906,117.483,2009-08-20,18.7,132,0.15,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.00748247787074274,0.0108778231948608,0.0209683222846722,0.0216370186497187,0.00370660498330607
"2","AGID_1001",8,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.83303,117.521,2009-08-25,6.3,52,0.2,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.00826302657830762,0.0123748992263685,0.0235188024992348,0.0255039016674544,0.00471270923818873
"3","AGID_1002",9,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.82403,117.511,2009-08-25,7.5,90,0.3,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.00942545362654234,0.0134675120560751,0.0243245954042263,0.0235127740174715,0.00305424929871063
"4","AGID_1003",10,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.81375,117.498,2009-08-25,9.6,92,0.3,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.00710459472990373,0.0111473315072617,0.0222397077785239,0.0219311417738177,0.002197806114034
"5","AGID_1004",11,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.80692,117.488,2009-08-25,6.7,32,0.25,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.00716060176390215,0.011298686366529,0.0225078072592071,0.0224373358123341,0.00215536140244443
"6","AGID_1005",12,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.79433,117.468,2009-08-25,5.8,22,0.3,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.00643839289174268,0.0103114599577605,0.021030352795833,0.0199576060860791,0.00151818277356926
"7","AGID_1006",13,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.78597,117.451,2009-08-25,3.2,18,0.5,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.00667338226511981,0.0107326526318717,0.0220234215329613,0.0216927631039138,0.00153962296052934
"8","AGID_1007",14,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.74111,117.399,2009-08-25,5,38,0.15,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.00913092987133021,0.0139884779032053,0.0298503535123279,0.0348434804606693,0.00488348899349344
"9","AGID_1008",15,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.67964,117.38,2009-08-25,11.5,58,0.1,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.00923946774033316,0.013747465904278,0.0286907712777469,0.036342562836609,0.0101187668302578
"10","AGID_1009",16,"NAN","Indonesia","Nechad_Matchups_North_Sea",-0.63969,117.347,2009-08-25,9.6,66,0.1,NA,"Nechad_Matchups_North_Sea_2009_08",7,0.00858017964108761,0.012766645414116,0.0264777197231312,0.0330554155607469,0.00792284867379688
