local_year_month,Unnamed: 0,station_id,V1,B1,B2,B3,B4,B5,id,organization,region,local,lat,long,date,chla,tss,secchi,acdom440,OWT,predicted
Canada_Erie_2013_09,324,AGID_345,2727,0.0055207149450746,0.0085565866116045,0.0100470278485919,0.0023795147982489,0.0001412188113649,AGID_345,NAN,Canada,Canada_Erie,42.63305556,80.05888889,2013-09-07,2.0,1.63,3.75,0.108650484,3.0,4.4119415
Canada_Erie_2013_09,325,AGID_346,2738,0.0086610821717446,0.013437206883255,0.0165707174912407,0.0039866233230684,0.0,AGID_346,NAN,Canada,Canada_Erie,43.53277778,80.64194444,2013-09-07,2.5,1.525,3.75,0.113461266,,2.9111562
Canada_Erie_2013_09,326,AGID_347,2749,0.0242018705243606,0.0318486145227782,0.038244254581666,0.0168412738860617,-0.0003214583073494,AGID_347,NAN,Canada,Canada_Erie,42.575,80.64138889,2013-09-07,1.4,6.55,1.5,0.13859183,3.0,1.4182246
Canada_Erie_2013_09,327,AGID_348,2760,0.0157644597196304,0.0216072444764654,0.0293005274819943,0.0159376367515282,0.0,AGID_348,NAN,Canada,Canada_Erie,42.625,80.79388889,2013-09-07,2.3,22.54,0.75,0.197763356,,1.0683863
Canada_Erie_2013_09,328,AGID_349,2771,0.0094908025874632,0.0125800108833964,0.0168691047303363,0.0066418835092744,0.0009294345238739,AGID_349,NAN,Canada,Canada_Erie,41.95,83.05,2013-09-12,6.6,4.14,1.75,0.184743309,3.0,1.7398956
Canada_Erie_2013_09,329,AGID_350,2783,0.0104189561593403,0.0167130434074078,0.028168880061673,0.0131725716192674,0.0007491212499185,AGID_350,NAN,Canada,Canada_Erie,41.82527778,82.92472222,2013-09-12,14.5,6.67,1.25,0.361056631,2.0,1.7293353
Canada_Erie_2013_09,330,AGID_351,2794,0.0084008427055369,0.0129220768750246,0.0206525700516476,0.0108465405273399,0.0003155820983066,AGID_351,NAN,Canada,Canada_Erie,41.6575,82.81333333,2013-09-13,6.3,6.09,1.5,0.370229711,2.0,1.3406359
Canada_Erie_2013_09,331,AGID_352,2805,0.00802389313832,0.0125859372987526,0.0220713973118819,0.0107753611144146,0.0011701843088589,AGID_352,NAN,Canada,Canada_Erie,41.74166667,82.74555556,2013-09-13,17.6,5.68,1.75,0.266042138,2.0,1.5897603
Canada_Erie_2016_08,410,AGID_432,3060,0.0043128021201945,0.0064475669081755,0.0081174173025007,0.0016375382445855,0.00066340024274,AGID_432,NAN,Canada,Canada_Erie,42.84444444,79.57361111,2016-08-25,2.1,0.666666667,7.5,0.094,3.0,4.4404745
Canada_Erie_2016_08,411,AGID_433,3061,0.004478535710806,0.0064337507732729,0.0076422308230297,0.0014610413572256,3.46772387733499e-05,AGID_433,NAN,Canada,Canada_Erie,42.71722222,80.25,2016-08-25,2.1,0.633333333,6.0,0.072,3.0,4.7687907
Canada_Erie_2016_08,412,AGID_434,3062,0.0038739432490327,0.0058378194407656,0.0073553629747231,0.0024055279270378,0.0004734445336285,AGID_434,NAN,Canada,Canada_Erie,41.93611111,81.65083333,2016-08-26,2.5,0.95,4.5,0.123,3.0,3.7102008
Canada_Erie_2016_08,413,AGID_436,3064,0.005942722447426,0.0087262390236173,0.0109561171561891,0.0029270009505621,0.0,AGID_436,NAN,Canada,Canada_Erie,42.13916667,82.27666667,2016-08-26,2.1,1.6,4.5,0.07,,3.9078507
Canada_Erie_2016_08,414,AGID_437,3065,0.0071671710356805,0.0098913381188152,0.0127947544780416,0.0035418062227797,0.0004934873505218,AGID_437,NAN,Canada,Canada_Erie,41.99055556,82.43805556,2016-08-26,2.9,1.35,4.5,0.094,3.0,3.318589
Canada_Erie_2016_08,415,AGID_438,3066,0.0092394935995155,0.0133082629808757,0.0174596347179521,0.0049543398450592,0.0004547312705884,AGID_438,NAN,Canada,Canada_Erie,41.92833333,82.46944444,2016-08-26,2.9,2.1,3.0,0.117,3.0,2.5284588
Canada_Erie_2016_08,416,AGID_439,3067,0.0074159318175565,0.0110187729180021,0.0162156062644431,0.0054615510953997,7.24278157236504e-05,AGID_439,NAN,Canada,Canada_Erie,41.98305556,82.62472222,2016-08-27,5.0,2.6,2.5,0.148,3.0,2.4870923
Canada_Erie_2016_08,417,AGID_440,3069,0.0095895578277328,0.0139836619634502,0.0200774271056699,0.0070440459654053,0.0005265321612606,AGID_440,NAN,Canada,Canada_Erie,41.92472222,82.75861111,2016-08-27,6.5,2.75,2.5,0.126,3.0,2.3150866
