"","station_id","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","B13","B14","B15","B16","B17","B18","B19","id","organization","region","local","lat","long","date","chla","tss","secchi","acdom440","local_year_month"
"1","Acai_04_2014_Ponto_01",0.00341548915278949,0.00377254739850712,0.00537934682459673,0.00767069397887267,0.00912392220066686,0.0137341369951793,0.0153802009216092,0.0153301917641735,0.0153076506411524,0.015229314130178,0.0119515834836034,0.00473773339737076,0.00486138368925487,0.00480718066954694,0.00468296346940547,0.00492031107883624,0.003035175113342,0.00269634366826031,0.00257687938205367,"40","LabISA-INPE","AMZ","Acai",-1.9452,-55.5937,2014-04-12,2.75,16,0.6,NA,"Acai_2014_04"
"2","Acai_04_2014_Ponto_02",0.0031237777755253,0.00337829670267129,0.00465858053295353,0.00676002771232865,0.00810635441398668,0.0123845165619382,0.0142708861183651,0.0143757595671666,0.0143766677341504,0.0143351389617365,0.0114559480611382,0.00385273953456265,0.0041404211485445,0.00408742148057296,0.00378919462670417,0.00408692977568123,0.00198378329889421,0.00163029445619752,0.00169459681561531,"40","LabISA-INPE","AMZ","Acai",-1.948,-55.5834,2014-04-12,3.47,14,0.6,NA,"Acai_2014_04"
"3","Acai_04_2014_Ponto_03",0.00466762244188902,0.00505202031206119,0.00661157087804118,0.00888144627101481,0.0103855903614244,0.0153047775919407,0.0175033000955365,0.017640272475659,0.0176633392780504,0.0176186334370614,0.0140708129394202,0.00545118085598958,0.00569760723497833,0.00566263585387,0.00535071881836901,0.00562796402512148,0.00343299912414282,0.00308611798716979,0.00298813841412956,"40","LabISA-INPE","AMZ","Acai",-1.9497,-55.5723,2014-04-12,2.39,11.75,0.6,NA,"Acai_2014_04"
"7","AGID_1000",0.00422578555119072,0.00474196095432439,0.00737842938219133,0.0114208181650177,0.0138887884026813,0.0211657742337671,0.0221330455707598,0.0204094325963615,0.0198462731272837,0.020359714148788,0.0188430303094944,0.00643185012533567,0.00673572142670529,0.00669060619089613,0.00661497860259045,0.00707581468481661,0.00370061062559138,0.0031303612239972,0.00292175348157803,"AGID_1000","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.88906,117.483,2009-08-20,18.7,132,0.15,NA,"Nechad_Matchups_North_Sea_2009_08"
"8","AGID_1001",0.0039863073911093,0.00470021327153186,0.00813822877958556,0.0130376361225705,0.0159386628941257,0.0236801462117362,0.0252764202749673,0.0246970549938026,0.0244661023251059,0.0248211537494017,0.022106432650991,0.00820709453699254,0.00880965018615396,0.00875280630687913,0.00856477092396643,0.00902090303653303,0.00470612022442565,0.00391580020922096,0.00349745221874353,"AGID_1001","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.83303,117.521,2009-08-25,6.3,52,0.2,NA,"Nechad_Matchups_North_Sea_2009_08"
"9","AGID_1002",0.00572118734667454,0.00633381087565209,0.00930678659249608,0.0141529465205541,0.0169259224237318,0.0245874840683357,0.0242485964496723,0.0222791321307864,0.0217933850985871,0.0219181440190151,0.0177940607696246,0.00555694827785426,0.00577649296300086,0.00572511854741545,0.00564643849149073,0.0060041572321743,0.00304827666699148,0.00252593052256067,0.00225199843137442,"AGID_1002","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.82403,117.511,2009-08-25,7.5,90,0.3,NA,"Nechad_Matchups_North_Sea_2009_08"
"10","AGID_1003",0.00342860403459883,0.00402249131207974,0.00698534942550329,0.0118336912617246,0.0145991343553408,0.0224709676140472,0.0225950619628526,0.0206452324329464,0.0201065377323162,0.0202914809948851,0.0165111171225966,0.00407571363696667,0.00434703575399162,0.00431114437244407,0.00422816130509538,0.00450680153644286,0.00219607633005609,0.00173328246785928,0.00143442868802794,"AGID_1003","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.81375,117.498,2009-08-25,9.6,92,0.3,NA,"Nechad_Matchups_North_Sea_2009_08"
"11","AGID_1004",0.00341158445716191,0.00402801465360542,0.00703901651241152,0.0120065816886289,0.0147955137570147,0.0227346999870608,0.0229605482948203,0.021249470150577,0.020798708875939,0.0208867606930467,0.0165249388268084,0.00408219672021016,0.0044180420702229,0.00438321480071974,0.00426042716168214,0.00453188139264519,0.00215364001076217,0.00168897433566695,0.00138387363744927,"AGID_1004","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.80692,117.488,2009-08-25,6.7,32,0.25,NA,"Nechad_Matchups_North_Sea_2009_08"
"12","AGID_1005",0.00313557552638564,0.00368352667163446,0.00632640514913867,0.0109899694142369,0.0135771756787755,0.0212883010821739,0.0207513341068918,0.0186607868620482,0.0181127626603313,0.0181584820424406,0.0138373326106709,0.00310375664075301,0.00332357238418874,0.00329296888654807,0.00321368873242415,0.00339168059313892,0.0015141409556916,0.00120704636916604,0.00103205830784224,"AGID_1005","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.79433,117.468,2009-08-25,5.8,22,0.3,NA,"Nechad_Matchups_North_Sea_2009_08"
"13","AGID_1006",0.00304892221049297,0.0036449794852124,0.00655524631953065,0.0114192165180705,0.0141875672744793,0.0222396504259509,0.0221838149891629,0.0205191737243226,0.0201009035514828,0.0201016760856576,0.015051627406781,0.00296226487928442,0.00333761770821528,0.003302150675208,0.00316193232680025,0.00331092015915662,0.00153606294940261,0.00125147947437814,0.00109919272997341,"AGID_1006","NAN","Indonesia","Nechad_Matchups_North_Sea",-0.78597,117.451,2009-08-25,3.2,18,0.5,NA,"Nechad_Matchups_North_Sea_2009_08"
